epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,305.606,1.29281,1.08943,1.29809,0.61169,0.62726,0.65288,0.32764,1.67713,1.40488,1.6529,0.0003466,0.0003466,0.0003466
35,314.493,1.29798,1.11263,1.30509,0.60068,0.57993,0.64793,0.32893,1.73067,1.45736,1.65826,0.0003268,0.0003268,0.0003268
36,323.699,1.29403,1.0974,1.29623,0.6136,0.57605,0.6097,0.31728,1.70227,1.47109,1.61113,0.000307,0.000307,0.000307
37,332.376,1.29236,1.09344,1.29698,0.55009,0.6235,0.62341,0.31975,1.71136,1.48332,1.64334,0.0002872,0.0002872,0.0002872
38,341.281,1.26071,1.05304,1.28111,0.53369,0.61825,0.60487,0.30712,1.76227,1.55582,1.67076,0.0002674,0.0002674,0.0002674
39,350.03,1.29212,1.09683,1.2925,0.56548,0.63158,0.63142,0.32996,1.67226,1.48484,1.62116,0.0002476,0.0002476,0.0002476
40,358.788,1.27123,1.05668,1.28345,0.65258,0.65764,0.67942,0.35975,1.61197,1.34438,1.59865,0.0002278,0.0002278,0.0002278
41,400.423,1.27027,1.06864,1.31149,0.60613,0.65781,0.674,0.35713,1.61612,1.33983,1.59726,0.000208,0.000208,0.000208
42,409.327,1.2558,1.04399,1.31177,0.5908,0.64163,0.65521,0.35225,1.60927,1.37731,1.58044,0.0001882,0.0001882,0.0001882
43,418.331,1.2324,1.01041,1.29455,0.64179,0.66939,0.68095,0.35911,1.61974,1.34234,1.61229,0.0001684,0.0001684,0.0001684
44,427.175,1.227,1.00568,1.29889,0.60658,0.6724,0.67574,0.36029,1.64471,1.29507,1.62121,0.0001486,0.0001486,0.0001486
45,436.089,1.205,0.97227,1.28484,0.5898,0.67917,0.67427,0.35678,1.59926,1.32247,1.6085,0.0001288,0.0001288,0.0001288
46,444.937,1.19151,0.95113,1.27905,0.64823,0.64227,0.68012,0.36434,1.62208,1.30396,1.61588,0.000109,0.000109,0.000109
47,453.789,1.18969,0.93806,1.27267,0.63605,0.66745,0.68129,0.36493,1.58744,1.28779,1.59864,8.92e-05,8.92e-05,8.92e-05
48,462.406,1.17702,0.93977,1.26971,0.64127,0.68301,0.69813,0.37418,1.58049,1.24488,1.59366,6.94e-05,6.94e-05,6.94e-05
49,471.322,1.16709,0.92577,1.2563,0.64091,0.66272,0.69258,0.3713,1.58894,1.26871,1.59809,4.96e-05,4.96e-05,4.96e-05
50,480.172,1.16795,0.92852,1.26663,0.6486,0.66951,0.70008,0.3727,1.57953,1.25467,1.59138,2.98e-05,2.98e-05,2.98e-05
