epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5076,1.84552,2.52204,1.64714,0.6886,0.39944,0.45084,0.20438,1.92781,2.32015,1.81193,0.00032963,0.00032963,0.00032963
2,20.5889,1.68498,1.69989,1.51809,0.43164,0.45166,0.43193,0.18874,2.00179,2.15834,1.96153,0.000649836,0.000649836,0.000649836
3,29.5015,1.69256,1.70723,1.55058,0.45564,0.36532,0.32365,0.13894,1.99388,2.17811,1.94838,0.000956843,0.000956843,0.000956843
4,38.3847,1.6472,1.65099,1.53415,0.31461,0.46382,0.35082,0.15938,1.94011,2.31601,1.95673,0.0009406,0.0009406,0.0009406
5,47.2362,1.61346,1.5464,1.49857,0.33844,0.531,0.42637,0.18421,1.98401,1.91456,1.94256,0.0009208,0.0009208,0.0009208
6,56.1732,1.58808,1.52164,1.48051,0.65215,0.51864,0.54669,0.24452,1.90492,1.78853,1.7751,0.000901,0.000901,0.000901
7,65.3215,1.55473,1.47101,1.4533,0.50591,0.58012,0.53805,0.23098,1.8926,1.91792,1.80724,0.0008812,0.0008812,0.0008812
8,73.8864,1.55087,1.46978,1.45359,0.49072,0.5525,0.52891,0.23905,1.88662,1.77046,1.84951,0.0008614,0.0008614,0.0008614
9,82.6508,1.51549,1.40784,1.44711,0.46861,0.59867,0.5599,0.24962,1.86697,1.82646,1.80175,0.0008416,0.0008416,0.0008416
10,91.5589,1.50192,1.39909,1.43289,0.52065,0.60104,0.61495,0.28621,1.78487,1.61979,1.75322,0.0008218,0.0008218,0.0008218
11,100.825,1.50204,1.3721,1.41534,0.53135,0.42784,0.41134,0.18869,2.10156,2.1356,1.88454,0.000802,0.000802,0.000802
12,109.498,1.4918,1.37708,1.42021,0.63458,0.44792,0.51071,0.23332,1.95077,1.82715,1.78715,0.0007822,0.0007822,0.0007822
13,118.262,1.45593,1.33092,1.39668,0.46691,0.54724,0.53782,0.25056,1.85854,1.80717,1.75472,0.0007624,0.0007624,0.0007624
14,126.722,1.44422,1.31562,1.40393,0.5585,0.59504,0.60105,0.29567,1.74912,1.56587,1.70914,0.0007426,0.0007426,0.0007426
15,135.749,1.4329,1.29702,1.38799,0.67365,0.46929,0.55004,0.27396,1.80357,1.67755,1.72673,0.0007228,0.0007228,0.0007228
16,144.982,1.4272,1.2862,1.38883,0.47317,0.61119,0.56284,0.26512,1.74012,1.73282,1.72964,0.000703,0.000703,0.000703
17,154.138,1.43958,1.29818,1.37575,0.524,0.56228,0.57529,0.27034,1.85085,1.85138,1.75653,0.0006832,0.0006832,0.0006832
18,163.153,1.43299,1.26744,1.38445,0.59396,0.53971,0.5658,0.27232,1.77931,1.73439,1.75798,0.0006634,0.0006634,0.0006634
19,172.338,1.40495,1.24671,1.36622,0.64179,0.58732,0.6576,0.30741,1.71265,1.50095,1.66691,0.0006436,0.0006436,0.0006436
20,181.249,1.37858,1.23119,1.35589,0.60218,0.61032,0.66178,0.33293,1.66469,1.45711,1.63742,0.0006238,0.0006238,0.0006238
21,190.1,1.39194,1.23086,1.35804,0.60111,0.6276,0.66279,0.32903,1.69444,1.45774,1.65548,0.000604,0.000604,0.000604
22,199.011,1.38014,1.22873,1.35788,0.57157,0.63972,0.64036,0.3184,1.68677,1.47499,1.61717,0.0005842,0.0005842,0.0005842
23,207.65,1.37425,1.21846,1.3492,0.61407,0.57617,0.64703,0.32983,1.69701,1.43459,1.67958,0.0005644,0.0005644,0.0005644
24,216.409,1.36689,1.18894,1.33711,0.60429,0.63542,0.65788,0.34548,1.64211,1.45078,1.63306,0.0005446,0.0005446,0.0005446
25,225.937,1.3622,1.19148,1.34732,0.72335,0.5114,0.59014,0.28601,1.81503,1.65857,1.69286,0.0005248,0.0005248,0.0005248
26,234.941,1.3587,1.16292,1.32995,0.63096,0.64241,0.67612,0.33732,1.71771,1.44003,1.62335,0.000505,0.000505,0.000505
27,243.852,1.34757,1.17761,1.33774,0.61964,0.54901,0.6161,0.30009,1.68583,1.53263,1.62096,0.0004852,0.0004852,0.0004852
28,252.659,1.32364,1.14507,1.32209,0.5905,0.63132,0.62387,0.32332,1.69352,1.38908,1.61981,0.0004654,0.0004654,0.0004654
29,261.478,1.34702,1.14083,1.32018,0.54581,0.59113,0.61212,0.30564,1.75185,1.57077,1.62777,0.0004456,0.0004456,0.0004456
30,270.454,1.32533,1.14726,1.32318,0.60362,0.61691,0.66563,0.33064,1.73773,1.42521,1.64071,0.0004258,0.0004258,0.0004258
31,279.197,1.32256,1.12597,1.31318,0.58497,0.60962,0.63235,0.32462,1.66815,1.4757,1.62489,0.000406,0.000406,0.000406
32,288.097,1.29808,1.11315,1.30273,0.54261,0.61765,0.6282,0.3231,1.70671,1.50883,1.63313,0.0003862,0.0003862,0.0003862
33,296.884,1.31721,1.13113,1.3148,0.57418,0.62012,0.62196,0.32229,1.67874,1.41951,1.62899,0.0003664,0.0003664,0.0003664
