epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4972,1.80968,2.73786,1.79791,0.25508,0.35525,0.21136,0.07757,2.28291,3.88614,2.23266,0.00032963,0.00032963,0.00032963
2,69.9184,1.68937,1.94436,1.68755,0.22192,0.30863,0.1931,0.06574,2.57127,3.03504,2.50204,0.000658587,0.000658587,0.000658587
3,100.33,1.69464,1.89846,1.71011,0.3972,0.27143,0.24589,0.08735,2.39037,2.80824,2.43781,0.000983145,0.000983145,0.000983145
4,123.21,1.67184,1.87256,1.7026,0.5925,0.32468,0.35285,0.14123,2.17032,2.43399,2.1167,0.0009802,0.0009802,0.0009802
5,154.719,1.62848,1.73014,1.65333,0.3319,0.56696,0.36953,0.14292,2.01013,2.26683,1.97797,0.0009736,0.0009736,0.0009736
6,186.116,1.61589,1.74631,1.6697,0.55202,0.43041,0.41199,0.17489,2.01584,2.30261,1.95933,0.000967,0.000967,0.000967
7,217.99,1.56986,1.66799,1.63128,0.31582,0.52661,0.34263,0.15254,2.08128,2.57942,2.00907,0.0009604,0.0009604,0.0009604
8,246.318,1.57382,1.66653,1.6287,0.62121,0.46988,0.49854,0.22656,1.84115,1.95006,1.82847,0.0009538,0.0009538,0.0009538
9,266.401,1.52703,1.59237,1.61374,0.68743,0.48321,0.53271,0.21751,1.85579,2.10128,1.88961,0.0009472,0.0009472,0.0009472
10,283.335,1.53149,1.60487,1.6086,0.39025,0.52659,0.44594,0.20918,1.85695,1.89261,1.82174,0.0009406,0.0009406,0.0009406
11,299.859,1.53734,1.5732,1.59348,0.3943,0.39804,0.35791,0.1615,2.00423,2.39989,1.94424,0.000934,0.000934,0.000934
12,316.554,1.51299,1.55974,1.58401,0.64955,0.50343,0.54119,0.24063,1.81233,1.83183,1.74145,0.0009274,0.0009274,0.0009274
13,335.009,1.50584,1.54059,1.58163,0.46514,0.65064,0.60779,0.26813,1.88067,1.7518,1.75184,0.0009208,0.0009208,0.0009208
