epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,354.293,1.49612,1.54097,1.58638,0.52548,0.56692,0.61051,0.27452,1.83233,1.59624,1.78002,0.0009142,0.0009142,0.0009142
15,373.563,1.48385,1.50431,1.56088,0.50575,0.52618,0.54004,0.24392,1.80803,1.71209,1.76805,0.0009076,0.0009076,0.0009076
16,392.369,1.47858,1.49798,1.57412,0.70392,0.56275,0.65758,0.29583,1.75779,1.62181,1.70543,0.000901,0.000901,0.000901
17,412.127,1.46089,1.46271,1.54708,0.43353,0.59167,0.56427,0.2472,1.87436,1.73643,1.8215,0.0008944,0.0008944,0.0008944
18,429.794,1.47593,1.48648,1.56308,0.51886,0.54283,0.56245,0.26639,1.79265,1.87027,1.77266,0.0008878,0.0008878,0.0008878
19,449.884,1.46151,1.46886,1.56278,0.53375,0.59977,0.61643,0.28454,1.80038,1.66981,1.76566,0.0008812,0.0008812,0.0008812
20,469.541,1.45489,1.45242,1.54215,0.48307,0.62326,0.58683,0.26872,1.77693,1.60106,1.69919,0.0008746,0.0008746,0.0008746
21,488.945,1.43691,1.44113,1.53167,0.67241,0.64508,0.69303,0.32472,1.75048,1.48853,1.72247,0.000868,0.000868,0.000868
22,508.623,1.4284,1.45851,1.53765,0.5966,0.63844,0.67441,0.30525,1.78419,1.51098,1.6929,0.0008614,0.0008614,0.0008614
23,527.988,1.43277,1.43332,1.54022,0.46652,0.65845,0.59797,0.27071,1.82954,1.66331,1.74355,0.0008548,0.0008548,0.0008548
24,547.805,1.44117,1.40926,1.53297,0.59756,0.66659,0.67161,0.32214,1.70327,1.5105,1.65073,0.0008482,0.0008482,0.0008482
25,568.055,1.42721,1.3928,1.54709,0.53435,0.68608,0.64668,0.32021,1.6823,1.48276,1.68239,0.0008416,0.0008416,0.0008416
26,587.487,1.41864,1.39057,1.51815,0.62583,0.54542,0.61192,0.26773,1.79938,1.5703,1.73463,0.000835,0.000835,0.000835
27,607.504,1.44953,1.42422,1.54234,0.58962,0.64092,0.65027,0.3101,1.70359,1.53741,1.68033,0.0008284,0.0008284,0.0008284
28,627.847,1.39311,1.36176,1.50456,0.56202,0.58272,0.58608,0.25749,1.90506,1.62553,1.77547,0.0008218,0.0008218,0.0008218
29,648.358,1.42125,1.37764,1.51546,0.52775,0.60605,0.57935,0.27776,1.84377,1.65421,1.7672,0.0008152,0.0008152,0.0008152
30,668.972,1.40522,1.38285,1.51352,0.58008,0.62705,0.66514,0.32596,1.72088,1.44203,1.64733,0.0008086,0.0008086,0.0008086
31,686.69,1.40259,1.36776,1.51542,0.60129,0.67238,0.68859,0.33587,1.66268,1.43626,1.64035,0.000802,0.000802,0.000802
32,706.517,1.40782,1.34378,1.51167,0.57538,0.64916,0.6586,0.31127,1.76175,1.47156,1.69479,0.0007954,0.0007954,0.0007954
33,726.025,1.42425,1.40125,1.53791,0.54215,0.64537,0.64349,0.31787,1.69032,1.54421,1.64099,0.0007888,0.0007888,0.0007888
34,745.888,1.37288,1.33326,1.49705,0.61459,0.64727,0.68112,0.31793,1.73786,1.4693,1.72733,0.0007822,0.0007822,0.0007822
35,765.506,1.40417,1.35817,1.51897,0.61547,0.61012,0.64846,0.31281,1.70628,1.48045,1.65714,0.0007756,0.0007756,0.0007756
36,785.198,1.37177,1.34199,1.50411,0.55114,0.64646,0.65182,0.32278,1.70948,1.474,1.62715,0.000769,0.000769,0.000769
37,804.815,1.38743,1.34073,1.49801,0.60295,0.67154,0.68411,0.32216,1.72102,1.45407,1.6482,0.0007624,0.0007624,0.0007624
38,823.626,1.36837,1.32461,1.49181,0.65262,0.65231,0.67798,0.31915,1.77792,1.38114,1.6575,0.0007558,0.0007558,0.0007558
39,840.199,1.37829,1.34411,1.49848,0.60756,0.57691,0.62811,0.3111,1.66286,1.50394,1.60505,0.0007492,0.0007492,0.0007492
40,858.425,1.37138,1.32086,1.48782,0.65745,0.62309,0.6849,0.34519,1.64184,1.43192,1.5942,0.0007426,0.0007426,0.0007426
41,878.182,1.36856,1.30997,1.49157,0.56643,0.66132,0.67602,0.34862,1.64242,1.39611,1.57516,0.000736,0.000736,0.000736
42,898.091,1.33882,1.26575,1.46369,0.56937,0.6364,0.6718,0.32678,1.71854,1.39576,1.60877,0.0007294,0.0007294,0.0007294
43,917.592,1.35358,1.29106,1.47128,0.55946,0.65124,0.66233,0.32455,1.74955,1.42252,1.62013,0.0007228,0.0007228,0.0007228
44,937.451,1.37225,1.29221,1.48191,0.73289,0.53094,0.63675,0.30658,1.70223,1.51504,1.62995,0.0007162,0.0007162,0.0007162
45,957.001,1.37144,1.30001,1.49106,0.57848,0.66302,0.66327,0.32934,1.67804,1.48863,1.63197,0.0007096,0.0007096,0.0007096
46,977.077,1.34553,1.28258,1.46643,0.62777,0.66127,0.70279,0.34316,1.69932,1.34395,1.59365,0.000703,0.000703,0.000703
47,996.852,1.35521,1.26129,1.47435,0.67245,0.65595,0.71046,0.34293,1.69047,1.38722,1.6161,0.0006964,0.0006964,0.0006964
48,1016.34,1.34809,1.27205,1.48298,0.64054,0.61781,0.6669,0.32518,1.71026,1.38961,1.61722,0.0006898,0.0006898,0.0006898
49,1035.63,1.34288,1.28678,1.47485,0.55236,0.69969,0.68951,0.33466,1.70828,1.38334,1.63521,0.0006832,0.0006832,0.0006832
50,1054.96,1.32898,1.23413,1.45556,0.57208,0.69288,0.69645,0.3382,1.69189,1.36876,1.60443,0.0006766,0.0006766,0.0006766
51,1074.36,1.33291,1.2374,1.45746,0.67472,0.64248,0.70609,0.33532,1.73397,1.36405,1.65008,0.00067,0.00067,0.00067
52,1093.58,1.32886,1.22623,1.46099,0.66615,0.6716,0.71789,0.35223,1.64452,1.34136,1.63495,0.0006634,0.0006634,0.0006634
53,1113.68,1.33493,1.2787,1.47483,0.57112,0.68537,0.69765,0.34434,1.67822,1.34464,1.59627,0.0006568,0.0006568,0.0006568
54,1133.76,1.33238,1.24366,1.45938,0.63616,0.66182,0.69813,0.32696,1.73979,1.37846,1.61035,0.0006502,0.0006502,0.0006502
55,1152.27,1.32357,1.22832,1.44396,0.63368,0.60087,0.66418,0.33544,1.64075,1.41456,1.61698,0.0006436,0.0006436,0.0006436
56,1168.87,1.33345,1.23686,1.45652,0.58553,0.6798,0.69454,0.35237,1.65516,1.34331,1.62419,0.000637,0.000637,0.000637
57,1185.48,1.32937,1.25521,1.45894,0.57995,0.65461,0.66959,0.34379,1.64011,1.36425,1.59758,0.0006304,0.0006304,0.0006304
58,1202.12,1.31549,1.21835,1.44267,0.53382,0.63269,0.63646,0.33189,1.62167,1.44788,1.5773,0.0006238,0.0006238,0.0006238
59,1218.76,1.31499,1.21298,1.44476,0.57984,0.69018,0.68002,0.33652,1.6799,1.35091,1.61388,0.0006172,0.0006172,0.0006172
60,1235.15,1.31124,1.20426,1.442,0.76845,0.56639,0.71776,0.35551,1.64691,1.36201,1.62195,0.0006106,0.0006106,0.0006106
61,1251.7,1.29703,1.21527,1.44359,0.59389,0.65513,0.67932,0.32938,1.70177,1.39314,1.61785,0.000604,0.000604,0.000604
62,1268.41,1.31279,1.18975,1.45404,0.62326,0.67601,0.70589,0.36325,1.62462,1.36073,1.58283,0.0005974,0.0005974,0.0005974
63,1285.04,1.29989,1.20253,1.44473,0.61572,0.65384,0.70636,0.35575,1.63884,1.36301,1.59339,0.0005908,0.0005908,0.0005908
64,1301.76,1.32442,1.21093,1.44881,0.62801,0.64646,0.69037,0.3528,1.63804,1.36055,1.60805,0.0005842,0.0005842,0.0005842
65,1318.33,1.32106,1.19582,1.44516,0.58574,0.65647,0.67654,0.32669,1.68206,1.39689,1.63366,0.0005776,0.0005776,0.0005776
66,1334.91,1.29953,1.19714,1.44394,0.65693,0.6567,0.71601,0.35851,1.6776,1.3243,1.58935,0.000571,0.000571,0.000571
67,1351.54,1.29869,1.18945,1.44128,0.64517,0.64457,0.70015,0.3547,1.65093,1.34943,1.59727,0.0005644,0.0005644,0.0005644
68,1368.1,1.29606,1.20885,1.43735,0.58052,0.7223,0.72401,0.36824,1.61766,1.31116,1.58601,0.0005578,0.0005578,0.0005578
69,1384.64,1.29325,1.19723,1.43629,0.59768,0.67319,0.70018,0.3497,1.67633,1.3489,1.61126,0.0005512,0.0005512,0.0005512
70,1401.24,1.30441,1.16396,1.43676,0.6095,0.66586,0.69517,0.34293,1.70759,1.28692,1.60701,0.0005446,0.0005446,0.0005446
71,1417.75,1.2953,1.16111,1.41885,0.6181,0.68029,0.70178,0.35593,1.64989,1.34339,1.59542,0.000538,0.000538,0.000538
72,1434.28,1.28455,1.14691,1.41725,0.63464,0.68832,0.71879,0.37819,1.58938,1.2843,1.56398,0.0005314,0.0005314,0.0005314
73,1450.89,1.30005,1.17869,1.44068,0.65115,0.66809,0.71718,0.36721,1.6358,1.31589,1.5802,0.0005248,0.0005248,0.0005248
74,1467.48,1.25607,1.14785,1.4176,0.72463,0.64258,0.72923,0.3706,1.65856,1.27471,1.61481,0.0005182,0.0005182,0.0005182
75,1484.1,1.28124,1.15371,1.41715,0.66254,0.65895,0.70325,0.3608,1.64811,1.33622,1.596,0.0005116,0.0005116,0.0005116
76,1500.6,1.2876,1.17622,1.42938,0.62608,0.67506,0.6872,0.34696,1.64144,1.40469,1.60457,0.000505,0.000505,0.000505
77,1517.16,1.29187,1.17032,1.43092,0.54865,0.66758,0.672,0.33874,1.67904,1.38262,1.58469,0.0004984,0.0004984,0.0004984
78,1533.93,1.2944,1.16502,1.43657,0.53305,0.69861,0.66367,0.34628,1.62414,1.36343,1.60516,0.0004918,0.0004918,0.0004918
79,1550.54,1.26602,1.14635,1.41704,0.68238,0.64163,0.72272,0.37891,1.6079,1.2766,1.56132,0.0004852,0.0004852,0.0004852
80,1567.26,1.27289,1.13527,1.41798,0.52249,0.70844,0.69498,0.35838,1.59168,1.34222,1.5648,0.0004786,0.0004786,0.0004786
81,1583.93,1.25977,1.11558,1.4085,0.60453,0.67575,0.69178,0.3457,1.621,1.36776,1.58436,0.000472,0.000472,0.000472
82,1600.65,1.26806,1.13942,1.40975,0.60392,0.66983,0.70385,0.37504,1.59271,1.31473,1.57709,0.0004654,0.0004654,0.0004654
83,1617.19,1.25667,1.13138,1.4018,0.57285,0.70257,0.67377,0.34658,1.65178,1.36823,1.58445,0.0004588,0.0004588,0.0004588
84,1634.72,1.27358,1.12979,1.41818,0.57601,0.67702,0.70509,0.35583,1.64935,1.3114,1.57183,0.0004522,0.0004522,0.0004522
85,1651.69,1.26635,1.12627,1.41342,0.60494,0.67309,0.69939,0.3582,1.63249,1.33078,1.55857,0.0004456,0.0004456,0.0004456
86,1668.24,1.2696,1.11471,1.40771,0.58753,0.68695,0.70108,0.37469,1.58532,1.3013,1.57456,0.000439,0.000439,0.000439
87,1685.16,1.24699,1.10916,1.40305,0.66002,0.67906,0.72307,0.38397,1.57334,1.27407,1.54252,0.0004324,0.0004324,0.0004324
88,1702.37,1.2618,1.11657,1.41513,0.59854,0.70711,0.71326,0.36975,1.61778,1.26619,1.55858,0.0004258,0.0004258,0.0004258
89,1719.03,1.25494,1.11647,1.41475,0.62994,0.68304,0.71417,0.37075,1.62062,1.27054,1.56035,0.0004192,0.0004192,0.0004192
90,1735.51,1.25314,1.102,1.40304,0.62918,0.6748,0.72027,0.36895,1.61321,1.27902,1.57898,0.0004126,0.0004126,0.0004126
91,1752.17,1.2554,1.11975,1.42038,0.63027,0.68753,0.72818,0.37263,1.59758,1.26935,1.56238,0.000406,0.000406,0.000406
92,1768.98,1.24841,1.10498,1.40961,0.67748,0.67549,0.73204,0.37447,1.59779,1.24401,1.56039,0.0003994,0.0003994,0.0003994
93,1785.64,1.23746,1.07921,1.39551,0.66346,0.66679,0.71368,0.36583,1.61105,1.26738,1.56173,0.0003928,0.0003928,0.0003928
94,1802.17,1.22889,1.0789,1.3919,0.65506,0.679,0.71716,0.36043,1.6228,1.29729,1.57679,0.0003862,0.0003862,0.0003862
95,1818.73,1.24081,1.09574,1.3971,0.61124,0.68819,0.70793,0.36907,1.60286,1.26834,1.57408,0.0003796,0.0003796,0.0003796
96,1835.31,1.22906,1.07027,1.37954,0.62172,0.66014,0.69476,0.3769,1.58925,1.27699,1.57178,0.000373,0.000373,0.000373
97,1851.88,1.22242,1.04902,1.38572,0.66372,0.67729,0.71957,0.37997,1.60044,1.23611,1.56002,0.0003664,0.0003664,0.0003664
98,1868.35,1.23613,1.07433,1.38589,0.62455,0.64836,0.69382,0.37423,1.57973,1.27776,1.55945,0.0003598,0.0003598,0.0003598
99,1884.99,1.22022,1.05387,1.37845,0.58937,0.66475,0.68085,0.36595,1.59515,1.29384,1.56595,0.0003532,0.0003532,0.0003532
100,1901.6,1.23338,1.05949,1.3965,0.65227,0.68093,0.71148,0.37186,1.59837,1.25021,1.55835,0.0003466,0.0003466,0.0003466
101,1918.18,1.22015,1.04889,1.37583,0.70915,0.64957,0.72753,0.37952,1.62277,1.26175,1.56013,0.00034,0.00034,0.00034
102,1934.57,1.22266,1.05673,1.37249,0.6205,0.67627,0.69585,0.35885,1.62872,1.2828,1.58431,0.0003334,0.0003334,0.0003334
103,1951.15,1.21313,1.04649,1.37812,0.66645,0.6671,0.71721,0.36317,1.63676,1.26517,1.57208,0.0003268,0.0003268,0.0003268
104,1967.62,1.22544,1.05742,1.38431,0.61555,0.69231,0.71061,0.36959,1.61995,1.25221,1.57434,0.0003202,0.0003202,0.0003202
105,1984.13,1.19892,1.04519,1.36768,0.69469,0.67986,0.72697,0.37364,1.62843,1.24466,1.58063,0.0003136,0.0003136,0.0003136
106,2000.55,1.20124,1.02757,1.36612,0.70397,0.68286,0.73102,0.37834,1.61471,1.24272,1.56533,0.000307,0.000307,0.000307
107,2017.08,1.21549,1.03987,1.37174,0.65698,0.64006,0.68913,0.36251,1.63316,1.26932,1.59526,0.0003004,0.0003004,0.0003004
108,2034.11,1.20784,1.01811,1.36576,0.68164,0.67713,0.72362,0.37919,1.63006,1.23189,1.55674,0.0002938,0.0002938,0.0002938
109,2054.43,1.18822,1.01918,1.34894,0.65522,0.66926,0.70101,0.36019,1.65953,1.2725,1.60014,0.0002872,0.0002872,0.0002872
110,2074.89,1.19309,1.02848,1.36865,0.67926,0.68197,0.72705,0.37689,1.62928,1.24277,1.57021,0.0002806,0.0002806,0.0002806
111,2094.41,1.17385,1.00774,1.34416,0.67252,0.65357,0.71994,0.3782,1.62611,1.24576,1.5722,0.000274,0.000274,0.000274
112,2113.49,1.18277,1.02288,1.36433,0.65774,0.65867,0.71107,0.37465,1.61532,1.24822,1.57507,0.0002674,0.0002674,0.0002674
113,2132.82,1.19256,1.0065,1.35782,0.63068,0.69648,0.72811,0.3818,1.61117,1.24859,1.56772,0.0002608,0.0002608,0.0002608
114,2152.61,1.17253,1.00187,1.34329,0.66577,0.68085,0.72751,0.3883,1.60087,1.19861,1.5597,0.0002542,0.0002542,0.0002542
115,2172.58,1.18953,1.00951,1.35799,0.63785,0.68338,0.70971,0.37582,1.61427,1.23268,1.57195,0.0002476,0.0002476,0.0002476
116,2190.08,1.17742,1.00808,1.35991,0.62959,0.68923,0.71742,0.38231,1.60583,1.2387,1.54583,0.000241,0.000241,0.000241
117,2206.58,1.19824,0.98138,1.35204,0.66842,0.66075,0.69076,0.37057,1.59202,1.27565,1.56652,0.0002344,0.0002344,0.0002344
118,2223.31,1.19337,0.97973,1.35621,0.67519,0.68349,0.72178,0.38094,1.59012,1.24838,1.55791,0.0002278,0.0002278,0.0002278
119,2240.07,1.17892,0.97131,1.35768,0.63549,0.68708,0.70242,0.37436,1.6064,1.23281,1.57929,0.0002212,0.0002212,0.0002212
120,2256.77,1.17622,0.98549,1.34969,0.63583,0.69494,0.71672,0.37548,1.60208,1.22789,1.55066,0.0002146,0.0002146,0.0002146
121,2273.28,1.17333,0.97658,1.34132,0.66334,0.65156,0.71423,0.38088,1.61444,1.22878,1.58399,0.000208,0.000208,0.000208
122,2289.95,1.17208,0.98367,1.33884,0.70459,0.66046,0.73249,0.38319,1.61383,1.21599,1.56227,0.0002014,0.0002014,0.0002014
123,2306.75,1.177,0.99846,1.35059,0.70186,0.66939,0.72721,0.38619,1.58157,1.2265,1.54439,0.0001948,0.0001948,0.0001948
124,2323.27,1.17672,0.99207,1.35274,0.67478,0.70408,0.73195,0.38751,1.59387,1.22349,1.55566,0.0001882,0.0001882,0.0001882
125,2339.83,1.16005,0.97823,1.32907,0.66762,0.6743,0.72881,0.39142,1.59467,1.21907,1.55664,0.0001816,0.0001816,0.0001816
126,2356.6,1.15972,0.98111,1.33415,0.68438,0.69345,0.72915,0.38851,1.59305,1.20785,1.55061,0.000175,0.000175,0.000175
127,2373.17,1.15945,0.98037,1.33239,0.66912,0.66872,0.71665,0.38399,1.59982,1.242,1.55458,0.0001684,0.0001684,0.0001684
128,2389.63,1.16702,0.97978,1.34652,0.64984,0.68931,0.71131,0.37362,1.619,1.22973,1.55107,0.0001618,0.0001618,0.0001618
129,2406.36,1.14865,0.9497,1.3236,0.64385,0.68795,0.71073,0.37511,1.61709,1.23712,1.56412,0.0001552,0.0001552,0.0001552
130,2422.96,1.18648,0.97301,1.35087,0.66123,0.70096,0.72675,0.38267,1.59869,1.22636,1.55086,0.0001486,0.0001486,0.0001486
131,2439.59,1.15076,0.93428,1.32477,0.67659,0.69044,0.72401,0.38604,1.61112,1.2093,1.53815,0.000142,0.000142,0.000142
132,2456.03,1.14433,0.95154,1.3262,0.70022,0.67923,0.72594,0.37745,1.61121,1.21613,1.55229,0.0001354,0.0001354,0.0001354
133,2472.76,1.15771,0.9663,1.33748,0.66947,0.67642,0.71962,0.37877,1.62525,1.21253,1.55703,0.0001288,0.0001288,0.0001288
134,2489.36,1.14329,0.94443,1.32464,0.72562,0.63726,0.72397,0.38777,1.59033,1.20165,1.56506,0.0001222,0.0001222,0.0001222
135,2505.99,1.13941,0.93038,1.31791,0.66163,0.686,0.71885,0.38092,1.58328,1.22083,1.56141,0.0001156,0.0001156,0.0001156
136,2522.58,1.13876,0.94559,1.32602,0.66491,0.70692,0.71891,0.38757,1.5751,1.20719,1.5419,0.000109,0.000109,0.000109
137,2539.1,1.13892,0.93243,1.31996,0.70961,0.6679,0.73033,0.38049,1.6164,1.21214,1.55547,0.0001024,0.0001024,0.0001024
138,2555.69,1.1222,0.92786,1.31626,0.70353,0.66914,0.72546,0.38422,1.58717,1.21282,1.54839,9.58e-05,9.58e-05,9.58e-05
139,2572.33,1.14046,0.94843,1.32739,0.68103,0.70423,0.73126,0.38768,1.58792,1.20884,1.54291,8.92e-05,8.92e-05,8.92e-05
140,2588.84,1.155,0.93901,1.32444,0.66153,0.6903,0.72173,0.38285,1.60072,1.22311,1.55181,8.26e-05,8.26e-05,8.26e-05
141,2641.02,1.14364,0.88114,1.31724,0.65517,0.70729,0.72745,0.38505,1.58334,1.23308,1.55307,7.6e-05,7.6e-05,7.6e-05
142,2657.57,1.11794,0.83719,1.3152,0.68528,0.67946,0.71811,0.38294,1.57766,1.2279,1.54881,6.94e-05,6.94e-05,6.94e-05
143,2674.01,1.10326,0.81541,1.30163,0.69737,0.64775,0.70527,0.37499,1.59609,1.22893,1.56551,6.28e-05,6.28e-05,6.28e-05
144,2690.41,1.11966,0.81421,1.31153,0.6806,0.68599,0.71115,0.38188,1.5865,1.21666,1.5693,5.62e-05,5.62e-05,5.62e-05
145,2707.18,1.09225,0.79506,1.3008,0.66461,0.68843,0.71224,0.37918,1.59445,1.2342,1.57596,4.96e-05,4.96e-05,4.96e-05
146,2723.82,1.10489,0.78855,1.29967,0.68105,0.69117,0.72167,0.38574,1.58451,1.2218,1.55771,4.3e-05,4.3e-05,4.3e-05
147,2740.5,1.08301,0.79411,1.29935,0.67443,0.67966,0.70899,0.38198,1.58465,1.22891,1.55684,3.64e-05,3.64e-05,3.64e-05
148,2756.98,1.09404,0.78157,1.3033,0.66931,0.67496,0.70897,0.38078,1.59784,1.22775,1.5706,2.98e-05,2.98e-05,2.98e-05
149,2773.48,1.08663,0.79262,1.29704,0.66686,0.67451,0.70721,0.38195,1.59042,1.22667,1.56544,2.32e-05,2.32e-05,2.32e-05
150,2789.87,1.09379,0.79963,1.29728,0.67961,0.67236,0.70767,0.3795,1.59662,1.22586,1.57287,1.66e-05,1.66e-05,1.66e-05
